Age,Gender,Country,Education Level,Role,Programming Experience,ML Experience,Company Size,Company Data Scientists,Yearly Compensation,Spent Money (5years),Primary Tool,# of Languages,# of Visual tools,# of ML frameworks,# of ML algorithms
35-39,Man,South Africa,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,I do not use machine learning methods,0-49 employees,3-4,"10,000-14,999",$0 ($USD),"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",2,1,0,0
50-54,Man,United States of America,Master’s degree,Software Engineer,20+ years,1-2 years,50-249 employees,0,"150,000-199,999",$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",4,1,1,2
25-29,Woman,United States of America,Master’s degree,Student,1-2 years,1-2 years,,,,,"Local development environments (RStudio, JupyterLab, etc.)",2,4,2,3
18-21,Man,India,Bachelor’s degree,Student,3-5 years,1-2 years,,,,,"Local development environments (RStudio, JupyterLab, etc.)",4,1,2,2
18-21,Man,Egypt,Bachelor’s degree,Student,1-2 years,Under 1 year,,,,,,2,2,1,2
30-34,Man,Netherlands,Bachelor’s degree,Software Engineer,10-20 years,5-10 years,0-49 employees,3-4,"60,000-69,999",$100-$999,Other,1,2,8,4
25-29,Man,Russia,Bachelor’s degree,Machine Learning Engineer,3-5 years,1-2 years,50-249 employees,5-9,"10,000-14,999",$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",2,2,3,3
35-39,Woman,Pakistan,Master’s degree,Data Analyst,5-10 years,4-5 years,"1000-9,999 employees",3-4,"15,000-19,999","$10,000-$99,999","Advanced statistical software (SPSS, SAS, etc.)",5,6,6,9
18-21,Man,India,Bachelor’s degree,Student,3-5 years,Under 1 year,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",5,3,3,2
30-34,Man,Other,Doctoral degree,Machine Learning Engineer,10-20 years,Under 1 year,0-49 employees,1-2,"10,000-14,999",$1-$99,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",2,1,2,3
18-21,Woman,India,Bachelor’s degree,Student,< 1 years,Under 1 year,,,,,,5,4,4,5
50-54,Woman,United States of America,Bachelor’s degree,Other,I have never written code,,"1000-9,999 employees",20+,"125,000-149,999",$0 ($USD),,0,0,0,0
35-39,Man,India,Bachelor’s degree,Other,I have never written code,,"10,000 or more employees",0,"15,000-19,999",$0 ($USD),,0,0,0,0
22-24,Man,Nepal,Bachelor’s degree,Student,3-5 years,1-2 years,,,,,"Local development environments (RStudio, JupyterLab, etc.)",3,2,4,2
22-24,Man,Indonesia,Master’s degree,Data Scientist,3-5 years,1-2 years,"1000-9,999 employees",1-2,"4,000-4,999","$1000-$9,999","Local development environments (RStudio, JupyterLab, etc.)",4,1,1,2
25-29,Man,South Korea,Master’s degree,Currently not employed,5-10 years,2-3 years,,,,,"Local development environments (RStudio, JupyterLab, etc.)",3,3,7,7
18-21,Man,India,Bachelor’s degree,Data Scientist,3-5 years,2-3 years,0-49 employees,20+,"> $500,000","$1000-$9,999","Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3,3,3,4
30-34,Man,United States of America,Master’s degree,Student,3-5 years,1-2 years,,,,,"Advanced statistical software (SPSS, SAS, etc.)",3,6,8,7
25-29,Man,Indonesia,Doctoral degree,Data Analyst,5-10 years,2-3 years,0-49 employees,1-2,$0-999,$1-$99,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",1,1,1,1
35-39,Man,India,Master’s degree,Other,10-20 years,4-5 years,50-249 employees,0,"10,000-14,999",$0 ($USD),,5,1,1,2
25-29,Man,Poland,Master’s degree,Currently not employed,1-2 years,Under 1 year,,,,,"Local development environments (RStudio, JupyterLab, etc.)",2,4,2,2
25-29,Woman,Belarus,Master’s degree,Machine Learning Engineer,1-2 years,Under 1 year,0-49 employees,0,"1,000-1,999",$0 ($USD),,1,2,3,3
25-29,Man,India,Doctoral degree,Other,3-5 years,1-2 years,50-249 employees,20+,$0-999,$1-$99,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",2,3,2,4
18-21,Man,India,Professional degree,,,,,,,,,0,0,0,0
22-24,Man,Other,Bachelor’s degree,Software Engineer,1-2 years,Under 1 year,0-49 employees,0,$0-999,$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",5,3,3,4
25-29,Woman,Tunisia,Master’s degree,Data Scientist,5-10 years,1-2 years,0-49 employees,1-2,,,,1,4,3,2
30-34,Man,Ukraine,Master’s degree,Data Scientist,3-5 years,3-4 years,"1000-9,999 employees",20+,"60,000-69,999","$100,000 or more ($USD)","Local development environments (RStudio, JupyterLab, etc.)",2,2,4,3
30-34,Woman,Belgium,Master’s degree,Data Analyst,1-2 years,,,,,,,1,0,0,0
35-39,Man,United States of America,Master’s degree,Other,< 1 years,I do not use machine learning methods,0-49 employees,0,"125,000-149,999","$1000-$9,999","Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,1,0,0
25-29,Man,United States of America,Master’s degree,Software Engineer,10-20 years,I do not use machine learning methods,"10,000 or more employees",20+,"300,000-500,000","$100,000 or more ($USD)","Local development environments (RStudio, JupyterLab, etc.)",6,5,0,0
40-44,Man,Germany,Doctoral degree,,,,,,,,,0,0,0,0
18-21,Man,Pakistan,Bachelor’s degree,Software Engineer,1-2 years,Under 1 year,0-49 employees,0,,,,2,1,1,2
35-39,Man,Saudi Arabia,Bachelor’s degree,Other,I have never written code,,"1000-9,999 employees",20+,"40,000-49,999",$1-$99,,0,0,0,0
35-39,Man,Taiwan,Master’s degree,Software Engineer,5-10 years,Under 1 year,250-999 employees,5-9,"25,000-29,999","$1000-$9,999","Local development environments (RStudio, JupyterLab, etc.)",3,1,1,4
25-29,Woman,Brazil,Master’s degree,Student,1-2 years,,,,,,,3,0,0,0
35-39,Man,United States of America,Doctoral degree,Data Analyst,1-2 years,1-2 years,0-49 employees,3-4,"70,000-79,999",$1-$99,"Local development environments (RStudio, JupyterLab, etc.)",2,3,5,5
25-29,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years,2-3 years,"10,000 or more employees",20+,"10,000-14,999",$1-$99,"Local development environments (RStudio, JupyterLab, etc.)",1,4,3,2
18-21,Woman,Indonesia,Bachelor’s degree,Data Scientist,< 1 years,Under 1 year,0-49 employees,20+,$0-999,$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",4,1,2,3
30-34,Woman,Other,Some college/university study without earning a bachelor’s degree,Student,3-5 years,1-2 years,,,,,,5,1,1,4
35-39,Man,Nigeria,Doctoral degree,Student,1-2 years,Under 1 year,,,,,"Local development environments (RStudio, JupyterLab, etc.)",1,3,4,3
18-21,Prefer to self-describe,India,Bachelor’s degree,Student,1-2 years,Under 1 year,,,,,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",3,2,2,3
35-39,Man,Germany,Doctoral degree,Research Scientist,10-20 years,5-10 years,50-249 employees,5-9,"60,000-69,999",$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",2,2,2,4
25-29,Man,China,Some college/university study without earning a bachelor’s degree,Data Scientist,< 1 years,Under 1 year,0-49 employees,1-2,$0-999,"$1000-$9,999","Local development environments (RStudio, JupyterLab, etc.)",1,1,1,2
25-29,Woman,China,Master’s degree,Currently not employed,< 1 years,I do not use machine learning methods,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,1,0,0
50-54,Woman,Italy,Doctoral degree,Research Scientist,1-2 years,Under 1 year,0-49 employees,1-2,$0-999,$100-$999,"Advanced statistical software (SPSS, SAS, etc.)",3,1,1,1
40-44,Man,India,Professional degree,Software Engineer,10-20 years,2-3 years,0-49 employees,1-2,"80,000-89,999",$100-$999,,2,4,3,4
22-24,Woman,Taiwan,Master’s degree,Student,1-2 years,1-2 years,,,,,,1,1,2,2
40-44,Man,United States of America,Master’s degree,Machine Learning Engineer,20+ years,,,,,,,4,1,0,0
25-29,Man,Taiwan,Master’s degree,Other,3-5 years,Under 1 year,"1000-9,999 employees",1-2,"25,000-29,999",$0 ($USD),Other,3,1,2,1
22-24,Woman,India,Master’s degree,Student,< 1 years,Under 1 year,,,,,,1,2,2,2
25-29,Man,Other,Bachelor’s degree,Data Analyst,1-2 years,Under 1 year,50-249 employees,1-2,$0-999,$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",2,4,1,3
60-69,Man,Other,Doctoral degree,Other,5-10 years,4-5 years,"1000-9,999 employees",20+,"7,500-9,999",$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",1,1,1,3
45-49,Man,Spain,Master’s degree,Software Engineer,1-2 years,I do not use machine learning methods,"1000-9,999 employees",1-2,,,,3,1,0,0
30-34,Prefer not to say,Singapore,Bachelor’s degree,Other,5-10 years,Under 1 year,0-49 employees,0,,,,3,2,2,2
18-21,Man,India,Bachelor’s degree,Data Scientist,< 1 years,I do not use machine learning methods,0-49 employees,0,$0-999,$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",5,1,0,0
22-24,Man,Russia,Master’s degree,Machine Learning Engineer,3-5 years,1-2 years,0-49 employees,1-2,"15,000-19,999",$0 ($USD),"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",3,3,2,5
30-34,Man,United States of America,Master’s degree,Other,I have never written code,,250-999 employees,0,,,,0,0,0,0
40-44,Man,India,Master’s degree,Other,< 1 years,Under 1 year,50-249 employees,0,"15,000-19,999",$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,2,1,1
22-24,Man,Other,Professional degree,Data Analyst,1-2 years,2-3 years,250-999 employees,3-4,$0-999,$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",3,3,4,3
35-39,Woman,Other,Doctoral degree,Other,< 1 years,Under 1 year,0-49 employees,0,$0-999,$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,2,4,2
30-34,Man,United Arab Emirates,Master’s degree,Research Scientist,5-10 years,3-4 years,0-49 employees,5-9,"80,000-89,999","$100,000 or more ($USD)","Local development environments (RStudio, JupyterLab, etc.)",2,1,2,3
18-21,Man,India,Bachelor’s degree,Student,I have never written code,,,,,,,0,0,0,0
22-24,Man,India,Bachelor’s degree,Software Engineer,3-5 years,I do not use machine learning methods,0-49 employees,0,,,,3,2,0,0
18-21,Man,Other,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Under 1 year,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3,2,2,3
40-44,Woman,Spain,Master’s degree,Other,< 1 years,Under 1 year,0-49 employees,1-2,,,,2,4,2,4
18-21,Man,India,No formal education past high school,Student,1-2 years,I do not use machine learning methods,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",4,1,0,0
55-59,Man,Colombia,Master’s degree,Data Scientist,10-20 years,20 or more years,0-49 employees,3-4,"40,000-49,999",$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",2,4,6,4
22-24,Man,India,Bachelor’s degree,Currently not employed,< 1 years,Under 1 year,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3,1,1,1
18-21,Woman,Mexico,Bachelor’s degree,Student,1-2 years,,,,,,,2,0,0,0
35-39,Man,Canada,Master’s degree,Data Scientist,10-20 years,5-10 years,"1000-9,999 employees",10-14,"80,000-89,999","$100,000 or more ($USD)","Local development environments (RStudio, JupyterLab, etc.)",1,3,3,4
22-24,Man,India,Bachelor’s degree,Data Analyst,3-5 years,Under 1 year,"10,000 or more employees",20+,"10,000-14,999",$1-$99,"Advanced statistical software (SPSS, SAS, etc.)",5,1,1,2
18-21,Man,India,I prefer not to answer,Machine Learning Engineer,1-2 years,Under 1 year,"10,000 or more employees",20+,$0-999,$0 ($USD),,2,1,3,4
18-21,Man,India,Master’s degree,Student,I have never written code,,,,,,"Local development environments (RStudio, JupyterLab, etc.)",0,0,0,0
35-39,Woman,India,Master’s degree,Currently not employed,1-2 years,Under 1 year,,,,,,2,2,5,4
30-34,Man,India,Master’s degree,Other,< 1 years,I do not use machine learning methods,"10,000 or more employees",20+,"30,000-39,999",$100-$999,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,1,0,0
25-29,Woman,Other,Doctoral degree,,,,,,,,,0,0,0,0
18-21,Woman,Nigeria,Master’s degree,Student,I have never written code,,,,,,,0,0,0,0
22-24,Man,Viet Nam,Master’s degree,Machine Learning Engineer,3-5 years,1-2 years,50-249 employees,1-2,"15,000-19,999","$100,000 or more ($USD)","Local development environments (RStudio, JupyterLab, etc.)",1,1,1,1
22-24,Woman,Poland,Master’s degree,Machine Learning Engineer,3-5 years,1-2 years,,,,,,1,2,4,4
18-21,Woman,Thailand,Bachelor’s degree,Student,I have never written code,,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",0,0,0,0
50-54,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Analyst,10-20 years,Under 1 year,"1000-9,999 employees",5-9,"90,000-99,999","$10,000-$99,999","Basic statistical software (Microsoft Excel, Google Sheets, etc.)",2,2,1,1
22-24,Man,Other,Bachelor’s degree,Software Engineer,5-10 years,1-2 years,250-999 employees,5-9,"10,000-14,999",$0 ($USD),"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",2,3,2,4
25-29,Man,Egypt,Bachelor’s degree,Machine Learning Engineer,1-2 years,1-2 years,0-49 employees,1-2,$0-999,$100-$999,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",2,3,2,5
18-21,Woman,India,Bachelor’s degree,Student,1-2 years,Under 1 year,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",7,1,1,3
30-34,Man,United States of America,Bachelor’s degree,Other,1-2 years,Under 1 year,"10,000 or more employees",0,"50,000-59,999",$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",4,4,4,4
40-44,Woman,France,No formal education past high school,Currently not employed,3-5 years,,,,,,,3,0,0,0
18-21,Man,India,Bachelor’s degree,Machine Learning Engineer,1-2 years,Under 1 year,0-49 employees,0,$0-999,$1-$99,Other,4,3,4,3
22-24,Man,Brazil,Professional degree,Business Analyst,< 1 years,Under 1 year,"10,000 or more employees",0,$0-999,$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,2,1,1
50-54,Man,Argentina,Doctoral degree,,,,,,,,,0,0,0,0
18-21,Man,Colombia,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,,,,,,1,0,0,0
18-21,Man,Mexico,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,Under 1 year,"1000-9,999 employees",3-4,"7,500-9,999",$100-$999,"Local development environments (RStudio, JupyterLab, etc.)",2,4,4,3
25-29,Woman,Egypt,Master’s degree,Data Scientist,5-10 years,5-10 years,"10,000 or more employees",10-14,$0-999,,,3,4,4,5
30-34,Man,United States of America,Doctoral degree,Student,1-2 years,,,,,,,1,0,0,0
18-21,Man,Viet Nam,Bachelor’s degree,Student,3-5 years,I do not use machine learning methods,,,,,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",2,1,0,0
22-24,Man,India,Professional degree,Currently not employed,< 1 years,Under 1 year,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3,4,5,1
35-39,Woman,Other,Master’s degree,Data Analyst,< 1 years,,,,,,,2,0,0,0
35-39,Man,United States of America,Master’s degree,Data Scientist,5-10 years,Under 1 year,"10,000 or more employees",20+,"100,000-124,999","$100,000 or more ($USD)","Local development environments (RStudio, JupyterLab, etc.)",3,4,1,1
18-21,Woman,Ghana,I prefer not to answer,Student,1-2 years,Under 1 year,,,,,,3,2,1,1
35-39,Man,Russia,Doctoral degree,Research Scientist,10-20 years,3-4 years,0-49 employees,0,"15,000-19,999",$0 ($USD),,2,1,2,3
50-54,Man,Japan,Master’s degree,,,,,,,,,0,0,0,0
45-49,Woman,United States of America,Doctoral degree,Data Scientist,10-20 years,5-10 years,"1000-9,999 employees",20+,"250,000-299,999","$10,000-$99,999","Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",2,3,3,3
55-59,Man,India,Bachelor’s degree,Machine Learning Engineer,< 1 years,Under 1 year,0-49 employees,1-2,,,,5,1,2,2
25-29,Man,Poland,Master’s degree,Software Engineer,3-5 years,Under 1 year,"1000-9,999 employees",20+,"15,000-19,999",$100-$999,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,1,1,2
25-29,Man,Ghana,Master’s degree,Student,< 1 years,Under 1 year,,,,,"Advanced statistical software (SPSS, SAS, etc.)",1,2,4,5
22-24,Man,India,Some college/university study without earning a bachelor’s degree,Student,< 1 years,I do not use machine learning methods,,,,,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",2,3,0,0
18-21,Man,Nigeria,Bachelor’s degree,Student,3-5 years,Under 1 year,,,,,"Local development environments (RStudio, JupyterLab, etc.)",1,2,6,4
18-21,Man,Ireland,No formal education past high school,Student,5-10 years,Under 1 year,,,,,,2,2,3,2
40-44,Man,United States of America,Master’s degree,Machine Learning Engineer,5-10 years,5-10 years,0-49 employees,0,$0-999,"$10,000-$99,999","Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",1,1,5,1
35-39,Woman,India,,,,,,,,,,0,0,0,0
35-39,Man,Other,Doctoral degree,Research Scientist,10-20 years,5-10 years,250-999 employees,5-9,"60,000-69,999",,,4,10,8,4
25-29,Man,Ghana,Bachelor’s degree,Student,5-10 years,I do not use machine learning methods,,,,,,2,1,0,0
25-29,Man,Netherlands,Master’s degree,Machine Learning Engineer,3-5 years,1-2 years,"10,000 or more employees",20+,$0-999,"$100,000 or more ($USD)","Local development environments (RStudio, JupyterLab, etc.)",3,5,4,6
22-24,Man,India,Master’s degree,Student,< 1 years,Under 1 year,,,,,,1,2,1,2
35-39,Man,Canada,Master’s degree,Data Scientist,5-10 years,4-5 years,"1000-9,999 employees",3-4,"80,000-89,999","$10,000-$99,999","Advanced statistical software (SPSS, SAS, etc.)",3,2,2,2
35-39,Man,Nigeria,Bachelor’s degree,Software Engineer,10-20 years,Under 1 year,0-49 employees,0,"60,000-69,999",$1-$99,"Local development environments (RStudio, JupyterLab, etc.)",5,3,5,5
25-29,Woman,India,Bachelor’s degree,Data Analyst,1-2 years,I do not use machine learning methods,"10,000 or more employees",3-4,"5,000-7,499",$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",2,3,0,0
35-39,Woman,Other,Master’s degree,Product/Project Manager,< 1 years,1-2 years,50-249 employees,3-4,"30,000-39,999","$10,000-$99,999","Basic statistical software (Microsoft Excel, Google Sheets, etc.)",2,2,3,4
25-29,Woman,Philippines,Bachelor’s degree,Data Analyst,< 1 years,,,,,,,1,0,0,0
25-29,Man,United States of America,Master’s degree,Software Engineer,10-20 years,1-2 years,50-249 employees,5-9,"60,000-69,999",$0 ($USD),"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",5,2,3,5
18-21,Man,Nigeria,I prefer not to answer,Data Scientist,< 1 years,Under 1 year,0-49 employees,3-4,$0-999,$0 ($USD),"Advanced statistical software (SPSS, SAS, etc.)",1,1,1,1
55-59,Man,France,I prefer not to answer,Currently not employed,20+ years,Under 1 year,,,,,"Local development environments (RStudio, JupyterLab, etc.)",8,2,3,5
22-24,Man,France,Master’s degree,Research Scientist,3-5 years,2-3 years,0-49 employees,20+,"50,000-59,999","$100,000 or more ($USD)","Local development environments (RStudio, JupyterLab, etc.)",2,4,4,7
30-34,Man,China,Bachelor’s degree,Business Analyst,,,,,,,,0,0,0,0
30-34,Man,Netherlands,Master’s degree,Data Analyst,3-5 years,2-3 years,0-49 employees,3-4,"4,000-4,999","$10,000-$99,999",,5,2,4,4
40-44,Man,Germany,Doctoral degree,Software Engineer,20+ years,Under 1 year,50-249 employees,1-2,"50,000-59,999",$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",2,1,2,1
25-29,Man,Morocco,Master’s degree,Data Scientist,3-5 years,3-4 years,"10,000 or more employees",20+,,,,1,5,6,7
45-49,Man,Spain,Doctoral degree,Currently not employed,5-10 years,2-3 years,,,,,"Advanced statistical software (SPSS, SAS, etc.)",3,3,3,3
45-49,Man,India,Master’s degree,,,,,,,,,0,0,0,0
18-21,Woman,India,Master’s degree,Student,3-5 years,Under 1 year,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",6,2,3,6
18-21,Man,Turkey,Some college/university study without earning a bachelor’s degree,Student,I have never written code,,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",0,0,0,0
30-34,Man,Belgium,Doctoral degree,Research Scientist,3-5 years,Under 1 year,"1000-9,999 employees",1-2,"30,000-39,999",$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3,1,3,2
35-39,Man,Other,Master’s degree,Business Analyst,3-5 years,4-5 years,0-49 employees,3-4,$0-999,"$1000-$9,999","Advanced statistical software (SPSS, SAS, etc.)",1,3,1,3
25-29,Woman,Germany,Master’s degree,Data Scientist,3-5 years,5-10 years,"10,000 or more employees",20+,"50,000-59,999","$10,000-$99,999","Advanced statistical software (SPSS, SAS, etc.)",2,2,1,2
25-29,Woman,Egypt,I prefer not to answer,Machine Learning Engineer,,,,,,,,0,0,0,0
25-29,Woman,Saudi Arabia,Master’s degree,Data Analyst,5-10 years,2-3 years,250-999 employees,5-9,"40,000-49,999",$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",2,3,1,4
22-24,Man,Russia,Doctoral degree,Research Scientist,3-5 years,Under 1 year,0-49 employees,1-2,"2,000-2,999",$100-$999,,3,4,6,6
40-44,Woman,India,Bachelor’s degree,Currently not employed,3-5 years,Under 1 year,,,,,,2,3,1,4
25-29,Man,Other,Master’s degree,Software Engineer,5-10 years,3-4 years,"10,000 or more employees",20+,$0-999,$1-$99,"Advanced statistical software (SPSS, SAS, etc.)",8,1,1,1
25-29,Man,India,Bachelor’s degree,,,,,,,,,0,0,0,0
18-21,Man,Turkey,Bachelor’s degree,Data Scientist,1-2 years,1-2 years,"1000-9,999 employees",5-9,"5,000-7,499","$1000-$9,999","Local development environments (RStudio, JupyterLab, etc.)",2,5,8,7
30-34,Man,Russia,Master’s degree,Software Engineer,5-10 years,1-2 years,"1000-9,999 employees",1-2,"15,000-19,999","$1000-$9,999","Basic statistical software (Microsoft Excel, Google Sheets, etc.)",4,2,4,2
30-34,Man,Italy,Professional degree,Research Scientist,< 1 years,Under 1 year,0-49 employees,1-2,$0-999,$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,3,4,1
18-21,Man,United States of America,Some college/university study without earning a bachelor’s degree,Student,5-10 years,Under 1 year,,,,,,5,2,1,3
22-24,Man,United States of America,Bachelor’s degree,Data Analyst,3-5 years,Under 1 year,"1000-9,999 employees",5-9,,,,3,2,1,1
40-44,Man,Spain,Some college/university study without earning a bachelor’s degree,Data Scientist,20+ years,5-10 years,"1000-9,999 employees",10-14,"100,000-124,999","$100,000 or more ($USD)","Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",3,3,9,4
22-24,Woman,Spain,Doctoral degree,Data Scientist,1-2 years,Under 1 year,0-49 employees,0,,,,2,4,6,4
55-59,Man,India,No formal education past high school,Currently not employed,20+ years,1-2 years,,,,,"Local development environments (RStudio, JupyterLab, etc.)",1,3,4,6
25-29,Man,India,Doctoral degree,Student,1-2 years,1-2 years,,,,,"Local development environments (RStudio, JupyterLab, etc.)",1,2,1,3
22-24,Woman,India,Bachelor’s degree,Software Engineer,I have never written code,,"10,000 or more employees",0,$0-999,$0 ($USD),,0,0,0,0
25-29,Man,"Iran, Islamic Republic of...",Master’s degree,Data Scientist,3-5 years,2-3 years,0-49 employees,5-9,"2,000-2,999","$1000-$9,999","Local development environments (RStudio, JupyterLab, etc.)",8,5,4,5
50-54,Man,Spain,Doctoral degree,Research Scientist,20+ years,20 or more years,"1000-9,999 employees",20+,"70,000-79,999","$100,000 or more ($USD)","Local development environments (RStudio, JupyterLab, etc.)",7,3,3,7
